,Fresh,Rotten,General,freq_fresh,freq_rot,freq_total,rel_fresh,rel_rot
adaption,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
adapts,3.0,1.0,4,0.0022814555686528,0.0007604851895509335,0.003041940758203734,0.003682653474583553,0.0019987208186760474
add,91.0,59.0,150,0.06920415224913494,0.044868626183505074,0.11407277843264003,0.11170715539570111,0.1179245283018868
added,3.0,0.0,3,0.0022814555686528,0.0,0.0022814555686528,0.003682653474583553,0.0
addendum,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
addict,4.0,1.0,5,0.003041940758203734,0.0007604851895509335,0.0038024259477546676,0.004910204632778071,0.0019987208186760474
addiction,7.0,0.0,7,0.005323396326856534,0.0,0.005323396326856534,0.008592858107361625,0.0
addictive,2.0,0.0,2,0.001520970379101867,0.0,0.001520970379101867,0.0024551023163890354,0.0
adding,35.0,8.0,43,0.026616981634282673,0.006083881516407468,0.03270086315069014,0.04296429053680812,0.01598976654940838
addition,20.0,11.0,31,0.01520970379101867,0.008365337085060268,0.023575040876078937,0.024551023163890354,0.02198592900543652
additional,3.0,0.0,3,0.0022814555686528,0.0,0.0022814555686528,0.003682653474583553,0.0
addled,2.0,0.0,2,0.001520970379101867,0.0,0.001520970379101867,0.0024551023163890354,0.0
address,5.0,2.0,7,0.0038024259477546676,0.001520970379101867,0.005323396326856534,0.006137755790972589,0.003997441637352095
addressing,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
adepero,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
adept,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
adhere,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
adherence,2.0,1.0,3,0.001520970379101867,0.0007604851895509335,0.0022814555686528,0.0024551023163890354,0.0019987208186760474
adheres,1.0,3.0,4,0.0007604851895509335,0.0022814555686528,0.003041940758203734,0.0012275511581945177,0.005996162456028142
adjective,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
adjust,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
adjusting,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
adjustment,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
adkins,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
adler,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
administration,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
admirable,13.0,9.0,22,0.009886307464162135,0.006844366705958401,0.016730674170120537,0.01595816505652873,0.017988487368084425
admirably,12.0,9.0,21,0.0091258222746112,0.006844366705958401,0.0159701889805696,0.014730613898334213,0.017988487368084425
admire,2.0,3.0,5,0.001520970379101867,0.0022814555686528,0.0038024259477546676,0.0024551023163890354,0.005996162456028142
admired,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
admission,1.0,3.0,4,0.0007604851895509335,0.0022814555686528,0.003041940758203734,0.0012275511581945177,0.005996162456028142
admit,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
